date,leading,coincident,lagging,leading_diffusion,coincident_diffusion
1/1/1991,56.6,44.6,40.2,33.3,80
2/1/1991,57.3,45,40.5,50,80
3/1/1991,57.5,44.6,40.4,83.3,80
4/1/1991,57.5,45.1,40,66.7,60
5/1/1991,57.9,45.6,40.7,50,80
6/1/1991,57.6,46,40.4,66.7,100
7/1/1991,58.7,46.4,40.9,83.3,100
8/1/1991,58.5,46.7,41.5,66.7,80
9/1/1991,58.1,47,41,50,100
10/1/1991,58.4,47.4,41.5,66.7,100
11/1/1991,56.5,47.6,41.2,50,80
12/1/1991,57,47.6,41.5,50,100
1/1/1992,57.6,48.8,41.8,50,100
2/1/1992,57,48.4,42,50,80
3/1/1992,57.7,48.5,42.3,50,80
4/1/1992,57.4,48.9,42.2,33.3,100
5/1/1992,57.6,49,42.7,50,80
6/1/1992,57.9,49,43.1,66.7,60
7/1/1992,57.8,49.8,43.1,50,60
8/1/1992,57.4,49.6,42.7,33.3,80
9/1/1992,57.3,49.3,43.3,33.3,60
10/1/1992,57.8,50.4,43.8,33.3,100
11/1/1992,57.9,50.1,43.6,50,80
12/1/1992,57.9,50.5,43.4,33.3,100
1/1/1993,58.5,50.5,43.8,66.7,60
2/1/1993,58.8,52.2,44.4,50,100
3/1/1993,58.4,52,44.4,66.7,100
4/1/1993,60.6,52.8,44.6,83.3,100
5/1/1993,60.9,53.1,44.8,83.3,100
6/1/1993,60.7,53.8,44.1,83.3,100
7/1/1993,61.2,54.1,45,100,100
8/1/1993,61.7,54.1,44.9,83.3,100
9/1/1993,63.4,54.6,45.4,100,100
10/1/1993,63.9,54.9,45.4,83.3,100
11/1/1993,63.9,55.4,45.4,83.3,100
12/1/1993,65.5,54.6,45.4,100,60
1/1/1994,65.8,55.9,45.4,83.3,80
2/1/1994,66.3,55.9,46,83.3,100
3/1/1994,65,56.2,45.8,33.3,80
4/1/1994,68,57.1,45.9,83.3,100
5/1/1994,66.3,57.1,46.2,83.3,100
6/1/1994,67.6,57.8,46,83.3,100
7/1/1994,67.4,57.7,47.1,66.7,100
8/1/1994,68.9,58.5,47.7,100,100
9/1/1994,69.8,59,47.8,100,100
10/1/1994,69.6,59,48.2,83.3,100
11/1/1994,69.2,59.5,48.1,83.3,100
12/1/1994,69.7,60,48.3,100,100
1/1/1995,68.7,60.4,48.8,66.7,100
2/1/1995,69.8,60.9,48.1,66.7,100
3/1/1995,69,60.5,48.4,16.7,100
4/1/1995,69.8,61.2,49.2,66.7,80
5/1/1995,70.5,62.3,49.1,83.3,100
6/1/1995,70.8,62.1,50.2,50,80
7/1/1995,71.4,62.3,50.2,66.7,80
8/1/1995,71.2,62.7,49.6,50,100
9/1/1995,71.7,63.1,50.2,83.3,100
10/1/1995,70.8,63.3,50.3,50,100
11/1/1995,71.5,63.8,50.7,66.7,80
12/1/1995,71.3,63.8,50.9,33.3,100
1/1/1996,72.5,64.7,51.5,66.7,100
2/1/1996,71.4,64.4,51.5,66.7,100
3/1/1996,71.5,65.7,52.1,33.3,100
4/1/1996,72.4,65.7,52.3,50,100
5/1/1996,71.8,66,52.3,50,100
6/1/1996,71.5,65.7,53.1,50,100
7/1/1996,72.4,66.5,52.4,33.3,80
8/1/1996,72.8,66.5,53.2,83.3,100
9/1/1996,72.6,66.7,53.3,66.7,60
10/1/1996,73.1,67.2,54.2,50,100
11/1/1996,73.9,66.9,54.1,100,80
12/1/1996,72.8,67.4,54.9,66.7,100
1/1/1997,75,68.4,55.3,83.3,100
2/1/1997,72.9,67.4,54.9,66.7,80
3/1/1997,74.5,68.3,55.5,66.7,100
4/1/1997,73.4,68.4,55.5,83.3,100
5/1/1997,73.3,68.6,55.4,33.3,100
6/1/1997,73.6,68.6,55.8,50,100
7/1/1997,72.9,68.9,55.7,0,80
8/1/1997,72.8,69.1,56,66.7,80
9/1/1997,72.7,69.1,56,16.7,80
10/1/1997,72.4,69.4,56.5,50,100
11/1/1997,70.9,69.4,56.7,33.3,100
12/1/1997,71.4,69.4,56.5,33.3,80
1/1/1998,69.5,68.7,56.7,16.7,60
2/1/1998,70,68.4,58.1,16.7,20
3/1/1998,69.3,68.1,57.4,16.7,20
4/1/1998,68.1,67.5,57,16.7,20
5/1/1998,67.9,66.8,57.3,33.3,0
6/1/1998,67.2,66.7,57.8,0,20
7/1/1998,67.1,66.3,57.9,50,0
8/1/1998,66.5,65.9,57.5,33.3,0
9/1/1998,67.1,66,58.6,33.3,0
10/1/1998,67.1,65.9,58.8,50,0
11/1/1998,67.8,65.7,58.7,66.7,40
12/1/1998,69,66.1,58.7,66.7,40
1/1/1999,68.4,65.8,59.1,66.7,20
2/1/1999,68.7,66.5,58.6,83.3,80
3/1/1999,68.7,67.8,59.4,83.3,80
